setup_id,tf,entry_price,atr14,median_atr14_20d,vol_z,dynamic_stop_candidate_price,dynamic_stop_candidate_R,applied_stop_price,applied_stop_distance,applied_stop_R,stop_cap_used,rr_planned,rr_realized,p_hit,conf,outcome,mfe_R,mae_R,shadow_valid,shadow_notes,ts
BTCUSDT-4h-20250826_210601,4h,111012.82535714286,1563.730714285715,1250.1171428571433,1.2508673472885972,1110.1282535714288,0.6666666666666734,112678.01773749999,1665.1923803571262,1.0,,2.0,,,0.6647126376628876,pending,,,True,pct_capped,2025-08-26 21:06:02
AUTO-BTCUSDT-4h-20250827_000022,4h,110079.81660714286,1548.2664285714293,1250.1171428571433,1.2384970779881201,1100.7981660714286,0.6666666666666696,111731.01385624999,1651.1972491071356,1.0,,1.8,,,0.8650466485782594,pending,,,True,pct_capped,2025-08-27 00:00:22
AUTO-BTCUSDT-4h-20250827_040022,4h,111516.98839285714,1632.1535714285721,1250.1171428571433,1.3056005037242224,1115.1698839285714,0.666666666666672,113189.74321874998,1672.7548258928437,1.0,,1.8,,,0.8746033480533427,pending,,,True,pct_capped,2025-08-27 04:00:22
AUTO-BTCUSDT-4h-20250827_080022,4h,112122.97339285714,1433.7335714285716,1250.1171428571433,1.146879378161132,1121.2297339285715,0.6666666666666718,113804.81799374998,1681.844600892844,1.0,,1.7999999999999965,,,0.9113206103882175,pending,,,True,pct_capped,2025-08-27 08:00:22
AUTO-BTCUSDT-4h-20250827_120020,4h,111755.74803571428,1350.3921428571443,1274.3164285714292,1.0596992337068114,1117.5574803571428,0.6666666666666735,113432.08425624997,1676.336220535697,1.0,,1.8000000000000034,,,0.8979080383560768,pending,,,True,pct_capped,2025-08-27 12:00:20
AUTO-BTCUSDT-4h-20250827_160020,4h,111064.6875,1322.9100000000024,1333.0264285714288,0.9924109317305374,1110.6468750000001,0.6666666666666691,112730.6578125,1665.9703124999942,1.0,,1.8,,,0.9151821395739581,pending,,,True,pct_capped,2025-08-27 16:00:20
AUTO-BTCUSDT-4h-20250827_200018,4h,111639.31142857144,1268.9657142857156,1369.7167857142865,0.9264438660025396,1116.3931142857143,0.6666666666666702,113313.9011,1674.5896714285627,1.0,,1.8000000000000018,,,0.8954810090186505,pending,,,True,pct_capped,2025-08-27 20:00:18
AUTO-BTCUSDT-4h-20250828_040018,4h,112393.49482142857,1251.259285714287,1394.664642857144,0.8971757419410352,1123.9349482142857,0.6666666666666693,114079.39724374999,1685.902422321422,1.0,,1.7999999999999965,,,0.8854043599822274,pending,,,True,pct_capped,2025-08-28 04:00:18
AUTO-BTCUSDT-4h-20250828_120021,4h,112287.98892857143,1151.915714285716,1394.664642857144,0.825944588317571,1122.8798892857144,0.6666666666666716,113972.30876249999,1684.319833928559,1.0,,1.8000000000000034,,,0.8630426741914852,pending,,,True,pct_capped,2025-08-28 12:00:21
AUTO-BTCUSDT-4h-20250828_160020,4h,113435.36964285714,1152.1185714285727,1394.664642857144,0.8260900405909155,1134.3536964285715,0.6666666666666737,115136.90018749998,1701.5305446428392,1.0,,1.8000000000000034,,,0.850782814521133,pending,,,True,pct_capped,2025-08-28 16:00:20
AUTO-BTCUSDT-4h-20250828_200021,4h,113217.2044642857,1133.2178571428583,1394.664642857144,0.812537883531141,1132.1720446428571,0.6666666666666698,114915.46253124998,1698.2580669642775,1.0,,1.8000000000000018,,,0.8533201340214248,pending,,,True,pct_capped,2025-08-28 20:00:21
AUTO-BTCUSDT-4h-20250829_000020,4h,112965.12517857143,1146.4207142857142,1394.664642857144,0.8220045730399596,1129.6512517857143,0.6666666666666696,114659.60205624999,1694.476877678564,1.0,,1.8000000000000034,,,0.8342846007318613,pending,,,True,pct_capped,2025-08-29 00:00:20
AUTO-BTCUSDT-4h-20250829_080019,4h,112833.00267857143,1064.4107142857133,1394.664642857144,0.7632019064490914,1128.3300267857144,0.6666666666666708,114525.49771874999,1692.4950401785609,1.0,,1.8000000000000018,,,0.8633426889138217,pending,,,True,pct_capped,2025-08-29 08:00:19
AUTO-BTCUSDT-4h-20250829_160018,4h,110302.04160714286,1130.6464285714258,1388.6114285714293,0.8142280880797648,1103.0204160714286,0.6666666666666689,111956.57223125,1654.5306241071376,1.0,,1.8,,,1.0712472355787939,pending,,,True,pct_capped,2025-08-29 16:00:18
AUTO-BTCUSDT-4h-20250829_200020,4h,110376.85303571429,1112.1721428571411,1372.1207142857156,0.8105497798246594,1103.768530357143,0.6666666666666718,112032.50583124999,1655.6527955357014,1.0,,1.7999999999999983,,,0.8837997537173347,pending,,,True,pct_capped,2025-08-29 20:00:20
